"mean","variance","variance.expected","variance.standardized","gene"
2.57241200155864,1787.43652641059,42.9741214433224,16.6356114834306,"IGLC1"
0.331081958695935,20.4813032069737,0.740416102294995,15.2694547640091,"CCL21"
0.25288998571243,8.42304796022577,0.507419487386654,13.7028997441197,"CXCL10"
0.413690089622029,19.1280068932911,1.03956631821724,13.5996310015949,"CXCL13"
0.411482010650734,23.4588756807297,1.03071167265027,12.9568706861883,"SFRP2"
0.733341992466554,96.0617759301812,2.86733902074598,12.4840048147362,"S100A8"
0.575529289518119,78.335779386612,1.82749946797257,12.0985257481437,"CCL19"
14.4752565268217,96992.3517844095,4333.66322766674,12.0836307946335,"IGHG3"
0.208988180283154,7.31290439307931,0.393980543246833,11.9776781527362,"SPP1"
0.292505520197428,10.6951516716699,0.619386880319565,11.553314490428,"SERPINE1"
1.01714508377711,106.768217309555,5.47443276679242,11.4920580301539,"S100A9"
0.994544746070918,90.6965147933668,5.2293363514032,10.8773900174968,"TNC"
0.943629042732822,70.868736685445,4.70181316444603,10.6735363209481,"CHI3L1"
0.411482010650734,13.2466127552946,1.03071167265027,10.6080299553499,"THBS1"
0.190414339524614,3.78239186519316,0.348799787044808,10.5995046225202,"CCN2"
0.204442135342252,9.12629359300745,0.382669309757832,10.2883331593222,"AQP1"
0.270944278477724,6.18586778839898,0.556783500648932,10.2550712396127,"CXCL9"
0.628912845824133,28.5085481944037,2.14884802360101,10.1519247370669,"IGFBP3"
0.1574230419535,15.9502732233246,0.274061547189172,9.96110707264801,"PLA2G2A"
0.199896090401351,8.64112235864797,0.371491957880785,9.84199096959037,"SFRP4"
0.952461358618002,48.4485062168428,4.79090160650857,9.69022460395371,"COL4A1"
0.40226003377062,9.61408166736978,0.994335258380975,9.66885322262823,"EGFL7"
1.1087154175867,65.6175636782912,6.53826754465397,9.65758504937633,"PLTP"
0.72152227562021,33.9195821978343,2.77987820326647,9.50111771948193,"GNLY"
0.518768671256007,16.1231537967009,1.51956219279843,9.32577022183778,"GAS1"
0.533575789063515,19.8656885760621,1.59655363765056,9.31003186058789,"RNASE1"
0.191453435511105,9.64949306781718,0.351221101090036,9.24793548182155,"PI15"
2.16950253279647,271.883060430597,28.7430116293111,9.22813626153009,"SPARC"
0.213923886218989,3.9998268848269,0.406379704852303,9.19288497374576,"ACTA2"
0.228471230029874,3.97988037235353,0.443241945401599,8.97902469214091,"CEMIP"
0.182621119625925,25.9279338407127,0.331102184066129,8.90860101460718,"COMP"
0.181841797636057,3.14515737637171,0.329361139532596,8.9067268564959,"INHBA"
0.824652552279517,31.4371630222887,3.5978810566774,8.73768824679273,"PTGDS"
0.298220548123133,5.52108153046369,0.636620146418915,8.67248949239293,"DEPP1"
0.612287310040265,24.3319924162727,2.04550182265909,8.65549491089905,"C3"
0.174048577737368,3.40929785734373,0.311956112010746,8.610525458092,"HSPA1B"
0.220548123132874,4.22259148959734,0.423139543065814,8.59790453748989,"MGP"
0.267177555526692,4.95497736662532,0.546323409935622,8.51938639721438,"C7"
0.373814781140408,174.03639400622,0.887732648538059,8.35578954091943,"MMP1"
0.11936615144824,2.30024714300066,0.197205130786704,8.30583475305924,"IDO1"
0.0741654760358488,2.25235795182951,0.119206890358912,8.30453238721982,"CD5L"
0.232887387972464,26.2223217606346,0.454534125383912,8.28328934482808,"CCL18"
2.01168982984803,201.456605341036,24.128948551905,8.1600882940493,"FN1"
0.703078321859982,22.9539149186505,2.6465779067156,8.11282354161992,"POSTN"
0.0766333290037667,2.81044249621821,0.123287502144563,8.07837621446811,"CLEC4M"
1.15209767502273,55.793049314439,7.08293103834876,7.87711316294917,"C1QB"
0.545915053903104,13.0725537838978,1.6625080227079,7.86315230082626,"AGT"
0.531627484088843,13.0367691228404,1.58628917157403,7.78151195525784,"MMP2"
0.254188855695545,8.3145690321388,0.510923907598361,7.77889638721145,"A2M"
1.02688660865047,48.2446654289438,5.58218172593575,7.75290437042432,"G0S2"
0.0891024808416677,1.24615168850904,0.144723936626546,7.70639263579819,"CCL4"
0.191193661514482,2.70804922450645,0.350613981603534,7.6906138132065,"FOSB"
0.237563319911677,4.11074261988589,0.466612883828625,7.56674842141353,"RRAD"
0.169242758799844,3.18556465124497,0.300999159696676,7.51039856307916,"TIMP3"
0.31653461488505,5.1680443158645,0.693411379333189,7.40828820402028,"COL15A1"
0.109754513573191,1.62720933177847,0.180467167262447,7.37513014987139,"PLVAP"
1.06494349915573,43.9206973565105,6.01541171409289,7.3013618093028,"C1QA"
0.107286660605273,1.97237999718629,0.176141249994189,7.25738479457523,"CA2"
0.405377321730095,7.71730545321908,1.0065243683339,7.24259302353977,"TPM1"
0.158202363943369,3.06668089383177,0.2757800129333,7.2346288195725,"MMP9"
1.24561631380699,60.6360794427897,8.34924384938439,7.188418867491,"C1QC"
0.0455903364073256,0.813847465825023,0.072693698159914,7.14513484782596,"SELE"
0.717365891674243,22.3687955547265,2.7495017634916,7.10572121744842,"SELENOP"
1.08273801792441,43.9101449574666,6.22476791883992,7.05410153920244,"DCN"
0.463826470970256,15.9177287181299,1.25420930119325,7.05183279787106,"FUCA1"
0.278217950383167,5.00130646275387,0.577351991986659,7.05173150265497,"ADRA2A"
0.0500064943499156,0.81004773963046,0.0799402942248722,7.02277908962934,"RGS5"
0.740355890375373,20.3845117465394,2.91999623652193,6.98100617102846,"COL4A2"
0.0771528769970126,0.97793858028888,0.124152454071921,6.94932749448776,"PTGS2"
0.31562540589687,6.13289559153945,0.690531802517751,6.92588943128598,"VCAM1"
